publish_date,company_name,website,location,job_type,job_category,link
18 September 2017,Valued Epistemics Private Limited,www.valuedepistemics.com,Chennai,Full-time employment,Programming,https://hasjob.co/vepl.com/0ssjy
18 September 2017,HeroTalkies,www.herotalkies.com,Chennai,Full-time employment,Testing,https://hasjob.co/herotalkies.com/xaaah
18 September 2017,Rizort Inc,rizort.com,Bangalore,Internship,Writer/Editor,https://hasjob.co/rizort.com/96ipm
18 September 2017,Synup Digital Pvt Ltd,synup.com,Bangalore,Full-time employment,Customer Support,https://hasjob.co/synup.com/4jv47
18 September 2017,USEReady Technology Pvt. Ltd.,www.useready.com,Bangalore,Internship,Programming,https://hasjob.co/useready.com/qtn3m
18 September 2017,AntiAlias Ventures Pvt. Ltd.,www.theantialias.com,New Delhi,Full-time employment,Writer/Editor,https://hasjob.co/theantialias.com/8klz4
18 September 2017,Saloni Mehta,www.flochat.in,Mumbai,Full-time employment,Programming,https://hasjob.co/flochat.in/v9zfw
18 September 2017,MangoApps,www.mangoapps.com,Pune,Full-time employment,Programming,https://hasjob.co/mangoapps.com/hrwrm
18 September 2017,Photojaanic,www.photojaanic.com,Goa,Full-time employment,Business/Management,https://hasjob.co/nvi.co.in/dtz16
18 September 2017,LetsMobility Software Solutions Pvt. Ltd.,www.letsmobility.com,Hyderabad,Full-time employment,Testing,https://hasjob.co/letsmobility.com/zzkz7
18 September 2017,"Pepo,Inc.",www.pepo.com,Pune,Full-time employment,Testing,https://hasjob.co/pepo.com/3n9al
18 September 2017,Happily Unmarried Marketing Pvt Ltd,www.happilyunmarried.com,New Delhi,Full-time employment,Programming,https://hasjob.co/happilyunmarried.com/qy397
18 September 2017,Opsfinity,Opsfinity.com,Bangalore,Full-time employment,Interaction Design,https://hasjob.co/opsfinity.com/y04zu?b=1
